#{"t_start": 1761360662.7164114, "env_id": "None"}
r,l,t
217.39938,503,390.440079
231.31964,545,390.749855
184.79936,475,391.994632
303.15033,447,392.243998
336.35068,481,393.207191
257.01987,497,393.454011
210.88959,539,394.113535
176.23912,497,394.737108
176.23912,497,395.089292
314.47018,573,395.439812
256.28958,489,396.255933
209.54958,527,396.83387
277.51038,497,397.782456
150.11917,531,397.835506
273.05038,445,397.995445
294.08035,457,399.433758
186.27925,601,399.985806
257.1999,499,400.578979
270.34955,643,400.688655
256.96985,497,401.151719
196.33919,497,402.109891
259.0398,519,402.353591
261.1002,537,402.660796
256.97983,497,404.279668
314.51022,573,404.391816
274.77957,583,405.64584
304.50024,573,405.668854
263.17972,563,406.041546
257.0399,497,406.42101
256.96985,497,406.661769
245.09946,587,407.746453
310.5205,417,407.914092
196.3292,497,408.709995
196.48918,499,410.017941
260.72983,537,410.382002
276.5697,597,411.296518
264.3896,577,411.509298
257.1699,497,412.148145
198.73006,513,412.444426
196.76929,497,413.098335
304.51926,797,413.663354
261.49966,547,415.131458
207.92885,621,415.512548
260.75974,537,416.231284
264.78958,583,416.426555
196.93927,499,416.867225
200.07907,537,416.904746
202.76892,569,418.131663
213.2785,685,419.710644
259.73,521,420.097222
240.4501,421,420.536891
200.22911,537,421.126135
214.14856,691,421.240796
206.1289,601,421.527817
209.53867,643,422.54176
257.76993,501,422.54176
276.46045,485,423.939224
190.76947,433,424.31253
205.51881,599,425.305081
199.09972,521,425.775299
257.2799,497,425.822856
203.9789,581,426.187593
257.13986,497,426.821332
196.89922,501,428.31926
215.03851,701,428.634242
257.34982,501,428.697806
273.7704,449,429.756946
260.69977,537,430.017074
196.42921,497,430.141488
197.21915,507,430.631308
251.01923,653,432.584128
194.29935,471,432.783382
261.46985,541,433.453318
205.72887,599,433.589651
252.31976,551,434.595289
261.1399,537,435.338692
205.76894,597,435.367763
207.92888,621,435.457664
200.25911,537,438.248777
216.85895,715,438.985554
214.04858,689,439.428243
209.0487,637,440.135311
205.89885,601,440.564746
210.93864,657,441.15534
213.6886,685,441.312073
250.87756,1093,442.082288
265.49026,473,442.35214
267.29944,611,444.30877
266.30954,597,444.630108
209.0787,637,445.670649
197.07916,505,445.718221
199.89903,537,445.843462
270.45953,643,446.165241
200.03906,537,446.766581
215.04852,701,448.473411
196.30919,497,449.997464
211.11864,659,450.044023
211.10869,657,450.346631
203.06908,567,450.651606
207.92885,621,451.554268
213.6785,689,451.823609
214.78847,701,452.839896
213.35857,683,454.373743
255.66992,481,454.506782
202.88905,565,454.926785
259.30984,519,455.139603
207.92885,621,455.372819
196.6092,499,456.163696
261.11005,537,456.22707
255.24023,473,456.965595
195.89928,489,458.778114
180.32909,537,460.212452
206.30891,603,460.606204
196.40921,497,461.000885
205.49881,599,461.060471
257.54953,503,461.858251
226.328,829,462.273328
226.348,829,464.007291
207.92885,621,464.7118
257.26987,499,465.250049
202.67894,567,465.487665
196.31918,497,465.664857
205.50882,599,467.792706
211.33864,661,467.952917
250.82886,759,468.020484
259.7504,519,468.793111
257.24008,497,469.263853
257.40994,497,469.743955
260.5997,537,470.469436
267.42993,607,470.973768
196.90927,499,472.206825
196.66917,501,472.372099
257.1199,497,473.127498
209.06871,637,473.607874
263.54965,567,474.248081
199.92905,537,474.495031
193.83939,465,474.617675
191.21947,437,476.248497
205.8689,599,476.248497
193.91931,469,476.361634
193.46931,465,477.258551
196.04933,489,478.537268
194.36932,473,478.735462
200.03906,537,479.167614
195.32939,481,480.503739
198.92921,521,480.740568
200.30913,537,480.882315
231.32796,881,481.313523
196.28918,497,482.874793
210.80872,653,482.938878
264.1401,569,483.693954
274.54916,691,485.188761
197.42924,505,485.295691
266.19952,597,485.952848
274.59915,691,486.547837
214.17856,691,487.409738
97.91851,519,487.440774
212.22865,669,488.829298
211.08868,657,489.497914
197.1892,505,489.684853
97.91851,519,490.569068
210.6886,657,491.104345
259.60986,521,491.171654
211.82861,667,493.241237
217.55836,731,493.772367
196.49922,497,493.974437
267.7795,613,494.14214
172.78914,457,494.513011
209.59868,643,495.06329
196.94919,503,495.512403
208.31873,629,496.536546
258.6002,507,498.163166
196.52919,499,498.844715
211.79855,669,499.05453
210.44873,649,499.606115
204.68898,585,500.14335
219.08838,745,500.612864
199.39966,521,501.071392
211.04863,659,501.238348
194.70935,475,503.146853
205.6488,601,503.36517
