app,algo,persona,episode,ep_len,ep_return,timestamp_ms,apples_eaten,deaths,steps
snake,a2c,snake_survivor,13,34,-31.34000015258789,1761518263951,0.0,1.0,34.0
snake,a2c,snake_survivor,14,42,-31.420000076293945,1761518263983,0.0,1.0,42.0
snake,a2c,snake_survivor,17,32,-31.31999969482422,1761518264016,0.0,1.0,32.0
snake,a2c,snake_survivor,16,30,-31.299999237060547,1761518264043,0.0,1.0,30.0
snake,a2c,snake_survivor,11,74,-31.739999771118164,1761518264089,0.0,1.0,74.0
snake,a2c,snake_survivor,15,104,-32.040000915527344,1761518264295,0.0,1.0,104.0
snake,a2c,snake_survivor,15,43,-31.43000030517578,1761518264631,0.0,1.0,43.0
snake,a2c,snake_survivor,17,75,-29.75,1761518264692,1.0,1.0,75.0
snake,a2c,snake_survivor,17,46,-31.459999084472656,1761518264735,0.0,1.0,46.0
snake,a2c,snake_survivor,18,55,-31.549999237060547,1761518264841,0.0,1.0,55.0
snake,a2c,snake_survivor,16,40,-31.399999618530273,1761518264898,0.0,1.0,40.0
snake,a2c,snake_survivor,18,28,-31.280000686645508,1761518265186,0.0,1.0,28.0
snake,a2c,snake_survivor,13,88,-31.8799991607666,1761518265216,0.0,1.0,88.0
snake,a2c,snake_survivor,16,38,-31.3799991607666,1761518265230,0.0,1.0,38.0
snake,a2c,snake_survivor,17,27,-31.270000457763672,1761518265338,0.0,1.0,27.0
snake,a2c,snake_survivor,19,40,-31.399999618530273,1761518265481,0.0,1.0,40.0
snake,a2c,snake_survivor,12,99,-31.989999771118164,1761518265618,0.0,1.0,99.0
snake,a2c,snake_survivor,14,128,-30.279998779296875,1761518265923,1.0,1.0,128.0
snake,a2c,snake_survivor,13,23,-31.229999542236328,1761518265970,0.0,1.0,23.0
snake,a2c,snake_survivor,20,34,-31.34000015258789,1761518265999,0.0,1.0,34.0
snake,a2c,snake_survivor,18,43,-29.43000030517578,1761518265999,1.0,1.0,43.0
snake,a2c,snake_survivor,19,60,-31.600000381469727,1761518266106,0.0,1.0,60.0
snake,a2c,snake_survivor,21,25,-31.25,1761518266391,0.0,1.0,25.0
snake,a2c,snake_survivor,17,91,-31.90999984741211,1761518266638,0.0,1.0,91.0
snake,a2c,snake_survivor,19,44,-31.440000534057617,1761518266681,0.0,1.0,44.0
snake,a2c,snake_survivor,14,101,-32.0099983215332,1761518266768,0.0,1.0,101.0
snake,a2c,snake_survivor,14,61,-31.610000610351562,1761518266910,0.0,1.0,61.0
snake,a2c,snake_survivor,18,145,-32.45000076293945,1761518266945,0.0,1.0,145.0
snake,a2c,snake_survivor,20,24,-31.239999771118164,1761518267051,0.0,1.0,24.0
snake,a2c,snake_survivor,15,74,-31.739999771118164,1761518267065,0.0,1.0,74.0
snake,a2c,snake_survivor,22,45,-31.450000762939453,1761518267080,0.0,1.0,45.0
snake,a2c,snake_survivor,20,82,-31.81999969482422,1761518267372,0.0,1.0,82.0
snake,a2c,snake_survivor,21,25,-31.25,1761518267434,0.0,1.0,25.0
snake,a2c,snake_survivor,16,30,-31.299999237060547,1761518267532,0.0,1.0,30.0
snake,a2c,snake_survivor,18,71,-31.709999084472656,1761518267740,0.0,1.0,71.0
snake,a2c,snake_survivor,22,54,-31.53999900817871,1761518268286,0.0,1.0,54.0
snake,a2c,snake_survivor,23,79,-31.78999900817871,1761518268318,0.0,1.0,79.0
snake,a2c,snake_survivor,15,112,-32.119998931884766,1761518268515,0.0,1.0,112.0
snake,a2c,snake_survivor,17,67,-31.670000076293945,1761518268577,0.0,1.0,67.0
snake,a2c,snake_survivor,19,55,-31.549999237060547,1761518268592,0.0,1.0,55.0
snake,a2c,snake_survivor,15,110,-30.099998474121094,1761518268620,1.0,1.0,110.0
snake,a2c,snake_survivor,23,30,-31.299999237060547,1761518268744,0.0,1.0,30.0
snake,a2c,snake_survivor,24,30,-31.299999237060547,1761518268772,0.0,1.0,30.0
snake,a2c,snake_survivor,16,29,-31.290000915527344,1761518268956,0.0,1.0,29.0
snake,a2c,snake_survivor,18,50,-31.5,1761518269334,0.0,1.0,50.0
snake,a2c,snake_survivor,21,128,-32.279998779296875,1761518269349,0.0,1.0,128.0
snake,a2c,snake_survivor,20,55,-31.549999237060547,1761518269429,0.0,1.0,55.0
snake,a2c,snake_survivor,24,50,-31.5,1761518269506,0.0,1.0,50.0
snake,a2c,snake_survivor,22,21,-31.21000099182129,1761518269671,0.0,1.0,21.0
snake,a2c,snake_survivor,17,51,-31.510000228881836,1761518269729,0.0,1.0,51.0
snake,a2c,snake_survivor,19,191,-32.90999984741211,1761518269881,0.0,1.0,191.0
snake,a2c,snake_survivor,25,33,-31.329999923706055,1761518269996,0.0,1.0,33.0
snake,a2c,snake_survivor,16,94,-31.939998626708984,1761518270043,0.0,1.0,94.0
snake,a2c,snake_survivor,18,22,-31.219999313354492,1761518270058,0.0,1.0,22.0
snake,a2c,snake_survivor,21,49,-31.489999771118164,1761518270169,0.0,1.0,49.0
snake,a2c,snake_survivor,25,97,-31.969999313354492,1761518270248,0.0,1.0,97.0
snake,a2c,snake_survivor,19,19,-31.190000534057617,1761518270354,0.0,1.0,19.0
snake,a2c,snake_survivor,26,36,-31.360000610351562,1761518270556,0.0,1.0,36.0
snake,a2c,snake_survivor,19,108,-32.07999801635742,1761518270989,0.0,1.0,108.0
snake,a2c,snake_survivor,20,83,-31.829999923706055,1761518271153,0.0,1.0,83.0
snake,a2c,snake_survivor,27,46,-31.459999084472656,1761518271261,0.0,1.0,46.0
snake,a2c,snake_survivor,20,67,-31.670000076293945,1761518271380,0.0,1.0,67.0
snake,a2c,snake_survivor,23,114,-32.13999938964844,1761518271414,0.0,1.0,114.0
snake,a2c,snake_survivor,20,51,-31.510000228881836,1761518271764,0.0,1.0,51.0
snake,a2c,snake_survivor,22,110,-32.099998474121094,1761518271857,0.0,1.0,110.0
snake,a2c,snake_survivor,21,35,-31.350000381469727,1761518271915,0.0,1.0,35.0
snake,a2c,snake_survivor,24,53,-31.530000686645508,1761518272220,0.0,1.0,53.0
snake,a2c,snake_survivor,26,131,-32.30999755859375,1761518272253,0.0,1.0,131.0
snake,a2c,snake_survivor,28,70,-31.69999885559082,1761518272325,0.0,1.0,70.0
snake,a2c,snake_survivor,29,10,-31.100000381469727,1761518272474,0.0,1.0,10.0
snake,a2c,snake_survivor,25,24,-31.239999771118164,1761518272582,0.0,1.0,24.0
snake,a2c,snake_survivor,17,166,-32.65999984741211,1761518272582,0.0,1.0,166.0
snake,a2c,snake_survivor,21,79,-31.78999900817871,1761518272961,0.0,1.0,79.0
snake,a2c,snake_survivor,18,59,-31.59000015258789,1761518273475,0.0,1.0,59.0
snake,a2c,snake_survivor,22,61,-31.610000610351562,1761518273894,0.0,1.0,61.0
snake,a2c,snake_survivor,21,182,-32.81999969482422,1761518273930,0.0,1.0,182.0
snake,a2c,snake_survivor,22,154,-32.540000915527344,1761518274288,0.0,1.0,154.0
snake,a2c,snake_survivor,23,170,-32.70000076293945,1761518274483,0.0,1.0,170.0
snake,a2c,snake_survivor,27,150,-32.5,1761518274583,0.0,1.0,150.0
snake,a2c,snake_survivor,26,143,-30.42999839782715,1761518274827,1.0,1.0,143.0
snake,a2c,snake_survivor,28,23,-31.229999542236328,1761518274952,0.0,1.0,23.0
snake,a2c,snake_survivor,19,136,-32.36000061035156,1761518275637,0.0,1.0,136.0
snake,a2c,snake_survivor,23,115,-32.14999771118164,1761518275724,0.0,1.0,115.0
snake,a2c,snake_survivor,23,99,-31.989999771118164,1761518275852,0.0,1.0,99.0
snake,a2c,snake_survivor,24,99,-31.989999771118164,1761518276029,0.0,1.0,99.0
snake,a2c,snake_survivor,30,236,-33.3599967956543,1761518276154,0.0,1.0,236.0
snake,a2c,snake_survivor,22,162,-32.619998931884766,1761518276473,0.0,1.0,162.0
snake,a2c,snake_survivor,31,52,-31.520000457763672,1761518276945,0.0,1.0,52.0
snake,a2c,snake_survivor,23,46,-31.459999084472656,1761518277172,0.0,1.0,46.0
snake,a2c,snake_survivor,20,105,-32.04999923706055,1761518277232,0.0,1.0,105.0
snake,a2c,snake_survivor,27,163,-30.6299991607666,1761518277324,1.0,1.0,163.0
snake,a2c,snake_survivor,32,34,-31.34000015258789,1761518277463,0.0,1.0,34.0
snake,a2c,snake_survivor,24,131,-32.30999755859375,1761518277734,0.0,1.0,131.0
snake,a2c,snake_survivor,33,27,-31.270000457763672,1761518277894,0.0,1.0,27.0
snake,a2c,snake_survivor,29,198,-30.979999542236328,1761518278003,1.0,1.0,198.0
snake,a2c,snake_survivor,25,143,-32.43000030517578,1761518278237,0.0,1.0,143.0
snake,a2c,snake_survivor,30,46,-31.459999084472656,1761518278727,0.0,1.0,46.0
snake,a2c,snake_survivor,21,99,-31.989999771118164,1761518278792,0.0,1.0,99.0
snake,a2c,snake_survivor,24,129,-32.290000915527344,1761518279207,0.0,1.0,129.0
snake,a2c,snake_survivor,34,136,-32.36000061035156,1761518280040,0.0,1.0,136.0
snake,a2c,snake_survivor,31,98,-31.979999542236328,1761518280270,0.0,1.0,98.0
snake,a2c,snake_survivor,26,137,-30.369998931884766,1761518280389,1.0,1.0,137.0
snake,a2c,snake_survivor,24,325,-34.249996185302734,1761518280898,0.0,1.0,325.0
snake,a2c,snake_survivor,25,115,-32.14999771118164,1761518280991,0.0,1.0,115.0
snake,a2c,snake_survivor,35,72,-31.719999313354492,1761518281148,0.0,1.0,72.0
snake,a2c,snake_survivor,22,157,-32.56999969482422,1761518281241,0.0,1.0,157.0
snake,a2c,snake_survivor,25,229,-33.28999710083008,1761518281318,0.0,1.0,229.0
snake,a2c,snake_survivor,26,25,-31.25,1761518281380,0.0,1.0,25.0
snake,a2c,snake_survivor,26,16,-31.15999984741211,1761518281592,0.0,1.0,16.0
snake,a2c,snake_survivor,32,109,-32.09000015258789,1761518281966,0.0,1.0,109.0
snake,a2c,snake_survivor,27,55,-31.549999237060547,1761518282236,0.0,1.0,55.0
snake,a2c,snake_survivor,27,74,-31.739999771118164,1761518282705,0.0,1.0,74.0
snake,a2c,snake_survivor,36,101,-32.0099983215332,1761518282705,0.0,1.0,101.0
snake,a2c,snake_survivor,27,184,-30.839998245239258,1761518283218,1.0,1.0,184.0
snake,a2c,snake_survivor,28,388,-34.87999725341797,1761518283355,0.0,1.0,388.0
snake,a2c,snake_survivor,28,89,-29.889999389648438,1761518283586,1.0,1.0,89.0
snake,a2c,snake_survivor,25,205,-33.04999923706055,1761518284039,0.0,1.0,205.0
snake,a2c,snake_survivor,23,201,-33.0099983215332,1761518284308,0.0,1.0,201.0
snake,a2c,snake_survivor,26,48,-31.479999542236328,1761518284756,0.0,1.0,48.0
snake,a2c,snake_survivor,24,49,-31.489999771118164,1761518285038,0.0,1.0,49.0
snake,a2c,snake_survivor,28,128,-32.279998779296875,1761518285146,0.0,1.0,128.0
snake,a2c,snake_survivor,29,124,-32.23999786376953,1761518285448,0.0,1.0,124.0
snake,a2c,snake_survivor,28,189,-32.88999938964844,1761518285550,0.0,1.0,189.0
snake,a2c,snake_survivor,33,261,-33.6099967956543,1761518285902,0.0,1.0,261.0
snake,a2c,snake_survivor,29,185,-32.849998474121094,1761518286140,0.0,1.0,185.0
snake,a2c,snake_survivor,25,84,-31.84000015258789,1761518286307,0.0,1.0,84.0
snake,a2c,snake_survivor,34,44,-31.440000534057617,1761518286564,0.0,1.0,44.0
snake,a2c,snake_survivor,29,70,-31.69999885559082,1761518286605,0.0,1.0,70.0
snake,a2c,snake_survivor,27,150,-32.5,1761518287018,0.0,1.0,150.0
snake,a2c,snake_survivor,29,141,-32.40999984741211,1761518287278,0.0,1.0,141.0
snake,a2c,snake_survivor,35,67,-31.670000076293945,1761518287577,0.0,1.0,67.0
snake,a2c,snake_survivor,26,107,-32.06999969482422,1761518287923,0.0,1.0,107.0
snake,a2c,snake_survivor,30,165,-32.64999771118164,1761518287937,0.0,1.0,165.0
snake,a2c,snake_survivor,37,350,-34.499996185302734,1761518287978,0.0,1.0,350.0
