app,algo,persona,episode,ep_len,ep_return,timestamp_ms,ale_score,deaths,episode_ale_score,pellets,score_delta,steps,unique_tiles
pacman,a2c,pacman_survivor,9,507,102.02871704101562,1761511673866,67519.19999999976,3.0,102.02999999999915,23.0,80900.0,128778.0,222.0
pacman,a2c,pacman_survivor,8,671,107.43826293945312,1761511673885,91218.30999999976,3.0,107.43999999999895,23.0,117800.0,225456.0,271.0
pacman,a2c,pacman_survivor,9,549,93.12881469726562,1761511673903,60872.02,3.0,93.12999999999951,22.0,78190.0,150975.0,226.0
pacman,a2c,pacman_survivor,9,497,40.428932189941406,1761511674642,54543.299999999814,3.0,40.42999999999954,17.0,67360.0,123753.0,212.0
pacman,a2c,pacman_survivor,9,537,103.11859130859375,1761511675162,74436.62999999977,3.0,103.11999999999904,23.0,90070.0,144453.0,241.0
pacman,a2c,pacman_survivor,8,497,101.42898559570312,1761511676916,57291.589999999946,3.0,101.42999999999958,23.0,70110.0,123753.0,192.0
pacman,a2c,pacman_survivor,9,583,114.94831848144531,1761511678537,85169.43999999968,3.0,114.94999999999871,24.0,104620.0,170236.0,266.0
pacman,a2c,pacman_survivor,10,497,121.96879577636719,1761511680717,67608.45999999982,3.0,121.96999999999923,25.0,80200.0,123753.0,206.0
pacman,a2c,pacman_survivor,9,515,50.88916778564453,1761511680981,55102.16999999994,3.0,50.89,18.0,71720.0,132870.0,184.0
pacman,a2c,pacman_survivor,10,455,79.77975463867188,1761511681451,34185.03000000019,3.0,79.78000000000071,21.0,49520.0,103740.0,193.0
pacman,a2c,pacman_survivor,10,573,155.3189239501953,1761511681776,72758.36000000018,3.0,155.31999999999974,28.0,97340.0,164451.0,253.0
pacman,a2c,pacman_survivor,10,573,114.27854919433594,1761511681812,72151.2899999998,3.0,114.27999999999906,24.0,90740.0,164451.0,229.0
pacman,a2c,pacman_survivor,10,681,128.43807983398438,1761511684044,92379.88999999968,3.0,128.43999999999863,25.0,119700.0,232221.0,301.0
pacman,a2c,pacman_survivor,9,549,83.0185546875,1761511684510,66709.78999999978,3.0,83.01999999999902,21.0,83870.0,150975.0,235.0
pacman,a2c,pacman_survivor,10,585,155.41854858398438,1761511686594,85363.10999999978,3.0,155.41999999999908,28.0,105490.0,171405.0,227.0
pacman,a2c,pacman_survivor,11,457,120.7294921875,1761511687744,43678.19000000016,3.0,120.73000000000033,25.0,59330.0,104653.0,202.0
pacman,a2c,pacman_survivor,11,531,-50.42997741699219,1761511688051,16140.740000000194,3.0,-50.4299999999995,8.0,34800.0,141246.0,204.0
pacman,a2c,pacman_survivor,10,531,0.669938325881958,1761511688326,30627.37000000032,3.0,0.6700000000010604,13.0,48960.0,141246.0,214.0
pacman,a2c,pacman_survivor,11,573,175.678466796875,1761511689719,96517.64999999963,3.0,175.6799999999989,30.0,114570.0,164451.0,249.0
